School District,County,Median List Price (District),Median List Price (County),List Price Premium (vs County),Listing Views (vs County),Days on Market (District),Days on Market (County),Days on Market (vs County %),Median Days on Market (vs County),Avg. School Rating
Logan City District,"Cache, UT","$185,000 ","$230,000 ",80%,105.26%,40,51,78%,-11,5.3
Milton-Freewater Unified Sd 7 School District,"Umatilla, OR","$167,000 ","$208,000 ",80%,47.06%,113,54,208%,59,4
Cottonwood-Oak Creek Elementary District School District,"Yavapai, AZ","$265,000 ","$329,000 ",80%,100.00%,67,66,102%,1,8
Harlingen Cisd School District,"Cameron, TX","$160,000 ","$199,000 ",80%,185.71%,104,124,84%,-20,4.4
Yreka Union Elementary School District,"Siskiyou, CA","$200,000 ","$249,000 ",80%,85.14%,83,69,120%,14,9
Phoenix Union High School District,"Maricopa, AZ","$260,000 ","$324,000 ",80%,97.14%,52,54,96%,-2,5.1
Tempe School District,"Maricopa, AZ","$260,000 ","$324,000 ",80%,134.29%,33,54,61%,-21,5.8
South Hunterdon Regional School District,"Hunterdon, NJ","$389,000 ","$485,000 ",80%,109.26%,97,80,121%,17,7.1
Northbridge School District,"Worcester, MA","$255,000 ","$318,000 ",80%,100.93%,64,55,115%,9,4.3
South Dearborn Com School Corporation,"Dearborn, IN","$134,000 ","$167,000 ",80%,88.24%,79,87,91%,-8,5
Windsor Locks School District,"Hartford, CT","$200,000 ","$250,000 ",80%,84.44%,61,61,100%,0,4.7
Omak School District,"Okanogan, WA","$200,000 ","$250,000 ",80%,128.57%,93,113,82%,-20,3
Southgate Community School District,"Wayne, MI","$110,000 ","$138,000 ",80%,177.34%,24,41,59%,-17,5.5
Willcox Unified District School District,"Cochise, AZ","$125,000 ","$156,000 ",80%,45.45%,153,106,144%,47,4
Belle Vernon Area School District,"Fayette, PA","$112,000 ","$140,000 ",80%,329.41%,101,86,117%,15,8
Walton Central School District,"Delaware, NY","$120,000 ","$150,000 ",80%,100.00%,138,100,138%,38,4.3
Oak Hills Local School District,"Hamilton, OH","$124,000 ","$155,000 ",80%,100.00%,45,59,77%,-14,5
Chillicothe City School District,"Ross, OH","$120,000 ","$150,000 ",80%,76.19%,84,73,115%,11,3.1
San Antonio Isd School District,"Bexar, TX","$184,000 ","$230,000 ",80%,107.55%,64,52,123%,12,3.5
Saugus School District,"Essex, MA","$360,000 ","$450,000 ",80%,150.00%,26,45,58%,-19,4
Redmond Sd 2J School District,"Deschutes, OR","$320,000 ","$400,000 ",80%,78.57%,54,59,92%,-5,5.6
Elkhart Community School District,"Elkhart, IN","$150,000 ","$188,000 ",80%,80.00%,74,62,119%,12,3.2
Shakopee Public School District,"Scott, MN","$252,000 ","$315,000 ",80%,92.00%,44,45,98%,-1,7.1
Spackenkill Union Free School District,"Dutchess, NY","$240,000 ","$300,000 ",80%,146.15%,80,83,96%,-3,8.9
Adrian School District Of The City Of,"Lenawee, MI","$120,000 ","$150,000 ",80%,134.78%,45,62,73%,-17,7
Upper Merion Area School District,"Montgomery, PA","$280,000 ","$350,000 ",80%,106.52%,70,65,107%,5,7
Lake Geneva J1 School District,"Walworth, WI","$220,000 ","$275,000 ",80%,98.68%,101,81,124%,20,7
Lincoln Esd 27 School District,"Logan, IL","$80,000 ","$100,000 ",80%,90.32%,96,80,120%,16,5
Branchburg Township School District,"Somerset, NJ","$500,000 ","$625,000 ",80%,130.30%,46,69,67%,-23,8.3
Oakland Unified School District,"Alameda, CA","$599,000 ","$749,000 ",80%,103.03%,31,31,100%,0,3.9
Minneapolis Public School Dist. School District,"Hennepin, MN","$240,000 ","$300,000 ",80%,95.83%,40,44,91%,-4,4.7
Nanuet Union Free School District,"Rockland, NY","$399,000 ","$499,000 ",80%,150.00%,68,69,99%,-1,8.8
Little Falls City School District,"Herkimer, NY","$100,000 ","$125,000 ",80%,83.33%,160,107,150%,53,5.7
Paris-Union Sd 95 School District,"Edgar, IL","$68,000 ","$85,000 ",80%,91.53%,81,86,94%,-5,6.3
Bridgewater-Raritan Regio School District,"Somerset, NJ","$499,000 ","$625,000 ",80%,151.52%,53,69,77%,-16,8.8
Beecher-Dunbar-Pembine School District,"Marinette, WI","$92,000 ","$116,000 ",80%,75.00%,135,93,144%,42,5.5
Itasca Sd 10 School District,"DuPage, IL","$279,000 ","$350,000 ",80%,135.90%,48,54,89%,-6,9
Jefferson Township School District,"Passaic, NJ","$275,000 ","$345,000 ",80%,221.43%,75,58,129%,17,7
Northeast Central School District,"Dutchess, NY","$239,000 ","$300,000 ",80%,61.54%,116,83,140%,33,4.7
Cocalico School District,"Lancaster, PA","$219,000 ","$275,000 ",80%,93.10%,56,67,84%,-11,6
London City School District,"Madison, OH","$155,000 ","$195,000 ",80%,77.50%,67,65,103%,2,5.3
Lawton School District,"Comanche, OK","$90,000 ","$113,000 ",80%,81.82%,80,75,107%,5,6.1
Ramona City Unified School District,"San Diego, CA","$549,000 ","$690,000 ",80%,88.71%,52,37,141%,15,7.5
Rsu 59/Msad 59 School District,"Somerset, ME","$102,000 ","$129,000 ",80%,103.57%,207,143,145%,64,7
Dover Area School District,"York, PA","$155,000 ","$195,000 ",80%,103.66%,74,65,113%,9,5
Warren Consolidated School District,"Macomb, MI","$155,000 ","$195,000 ",79%,116.07%,32,40,80%,-8,4.7
Park County School District # 1 School District,"Park, WY","$242,000 ","$305,000 ",79%,82.00%,92,94,98%,-2,8
Belleville Twp Hsd 201 School District,"St. Clair, IL","$135,000 ","$170,000 ",79%,83.33%,65,66,98%,-1,6
Spotswood School District,"Middlesex, NJ","$270,000 ","$340,000 ",79%,95.83%,62,62,100%,0,7
Carrollton Exempted Village School District,"Carroll, OH","$139,000 ","$175,000 ",79%,88.46%,81,71,114%,10,5
Milwaukee School District,"Milwaukee, WI","$135,000 ","$170,000 ",79%,82.35%,48,45,107%,3,3
Auburn City School District,"Cayuga, NY","$119,000 ","$150,000 ",79%,126.32%,86,84,102%,2,6
Stamford Central School District,"Delaware, NY","$119,000 ","$150,000 ",79%,88.89%,103,100,103%,3,7
Xenia Community City School District,"Greene, OH","$115,000 ","$145,000 ",79%,87.80%,67,62,108%,5,5
Madison Local School District,"Lake, OH","$123,000 ","$155,000 ",79%,69.15%,67,58,115%,9,5
Wyandotte School District Of The City Of,"Wayne, MI","$109,000 ","$138,000 ",79%,150.00%,42,41,101%,1,5.1
Mount Ephraim Borough School District,"Camden, NJ","$150,000 ","$189,000 ",79%,81.82%,64,79,81%,-15,5
New York City Geographic District #20 School District,"Kings, NY","$575,000 ","$725,000 ",79%,210.00%,94,90,104%,4,4.5
Hamilton Heights School Corporation,"Hamilton, IN","$230,000 ","$290,000 ",79%,115.69%,51,44,116%,7,6.3
Capital School District,"Kent, DE","$180,000 ","$227,000 ",79%,115.00%,82,86,95%,-4,4.5
Marinette School District,"Marinette, WI","$92,000 ","$116,000 ",79%,200.00%,75,94,80%,-19,4
Oregon Cusd 220 School District,"Ogle, IL","$111,000 ","$140,000 ",79%,98.28%,74,83,89%,-9,5.6
Richland-Bean Blossom C S C School District,"Monroe, IN","$174,000 ","$220,000 ",79%,83.33%,73,72,101%,1,6
Corpus Christi Isd School District,"Nueces, TX","$189,000 ","$238,000 ",79%,123.53%,59,76,78%,-17,4.8
M S D Wayne Township School District,"Marion, IN","$95,000 ","$120,000 ",79%,86.36%,47,58,81%,-11,3.1
Rudyard Area School District,"Chippewa, MI","$99,000 ","$125,000 ",79%,90.91%,102,111,92%,-9,5.1
Fountain School District No. 8 In The County Of El Paso An,"El Paso, CO","$238,000 ","$300,000 ",79%,77.27%,37,36,103%,1,6.1
Berryville School District,"Carroll, AR","$143,000 ","$181,000 ",79%,54.76%,122,139,88%,-17,7.3
Holliston School District,"Middlesex, MA","$440,000 ","$556,000 ",79%,114.75%,38,37,103%,1,8.7
Ingleside Isd School District,"San Patricio, TX","$176,000 ","$223,000 ",79%,113.33%,62,74,84%,-12,4.5
Oregon City Sd 62 School District,"Clackamas, OR","$419,000 ","$530,000 ",79%,109.09%,42,35,120%,7,7.5
Walpole School District,"Norfolk, MA","$435,000 ","$550,000 ",79%,133.96%,37,46,81%,-9,8
Williamsport Area School District,"Lycoming, PA","$115,000 ","$145,000 ",79%,80.00%,66,65,102%,1,5
Greenfield Union School District,"Kern, CA","$178,000 ","$225,000 ",79%,85.19%,52,58,90%,-6,4.5
Centralia Sd 135 School District,"Marion, IL","$73,000 ","$92,000 ",79%,52.44%,73,77,95%,-4,4
Braintree School District,"Norfolk, MA","$435,000 ","$550,000 ",79%,168.87%,26,45,58%,-19,9
Granite District School District,"Salt Lake, UT","$245,000 ","$310,000 ",79%,78.95%,37,39,95%,-2,3.8
South-Western City School District,"Franklin, OH","$150,000 ","$190,000 ",79%,93.26%,37,38,97%,-1,4.9
Paragould School District,"Greene, AR","$109,000 ","$138,000 ",79%,92.31%,87,81,107%,6,5
Port Chester-Rye Union Free School District,"Westchester, NY","$375,000 ","$475,000 ",79%,184.00%,51,62,82%,-11,5.2
Berwyn South Sd 100 School District,"Cook, IL","$210,000 ","$266,000 ",79%,87.10%,52,54,96%,-2,4.1
Prairie Grove School District,"Washington, AR","$150,000 ","$190,000 ",79%,59.26%,52,61,85%,-9,7.7
Upper Moreland Township School District,"Montgomery, PA","$276,000 ","$350,000 ",79%,134.78%,69,65,106%,4,8
Liberty Central School District,"Sullivan, NY","$134,000 ","$170,000 ",79%,91.67%,100,101,99%,-1,5
Yough School District,"Westmoreland, PA","$106,000 ","$135,000 ",79%,172.06%,77,68,113%,9,6
Bethel School District,"Pierce, WA","$280,000 ","$355,000 ",79%,93.55%,26,34,77%,-8,4.8
Rsu 12 School District,"Lincoln, ME","$225,000 ","$285,000 ",79%,100.00%,82,86,95%,-4,6
St. Lucie School District,"Martin, FL","$275,000 ","$349,000 ",79%,75.00%,145,97,149%,48,5.3
Carlisle Area School District,"Cumberland, PA","$158,000 ","$200,000 ",79%,71.43%,66,59,112%,7,5.2
Stratford Borough School District,"Camden, NJ","$149,000 ","$189,000 ",79%,90.91%,82,79,104%,3,6
Morrisville-Eaton Central School District,"Jefferson, NY","$130,000 ","$165,000 ",79%,40.00%,85,82,103%,3,5.5
Watertown City School District,"Jefferson, NY","$130,000 ","$165,000 ",79%,110.00%,86,82,105%,4,6
Perry Local School District,"Stark, OH","$130,000 ","$165,000 ",79%,88.89%,37,42,88%,-5,8
Newport Independent School District,"Campbell, KY","$124,000 ","$158,000 ",79%,95.45%,66,61,108%,5,2.5
Grandview C-4 School District,"Jackson, MO","$134,000 ","$170,000 ",79%,97.92%,46,50,92%,-4,4
Blackfoot District School District,"Bingham, ID","$149,000 ","$190,000 ",79%,78.95%,78,88,89%,-10,2
Mesa Unified District School District,"Maricopa, AZ","$255,000 ","$324,000 ",79%,97.14%,50,54,93%,-4,7.3
Kuna Joint District School District,"Ada, ID","$223,000 ","$284,000 ",79%,70.21%,37,41,90%,-4,3.6
Zeeland Public School District,"Ottawa, MI","$240,000 ","$305,000 ",79%,85.25%,38,45,84%,-7,8.1
Inver Grove Heights School District,"Dakota, MN","$217,000 ","$276,000 ",79%,88.46%,39,41,95%,-2,5.9
Albany City School District,"Albany, NY","$165,000 ","$210,000 ",79%,90.48%,67,73,92%,-6,3.9
San Mateo-Foster City School District,"San Mateo, CA","$1,099,000 ","$1,398,000 ",79%,88.89%,24,31,77%,-7,8
Mifflinburg Area School District,"Union, PA","$196,000 ","$249,000 ",79%,89.74%,119,86,138%,33,8
Spencer-E Brookfield School District,"Worcester, MA","$250,000 ","$318,000 ",79%,70.37%,64,55,116%,9,3
Waverly Community School District,"Eaton, MI","$118,000 ","$150,000 ",79%,82.08%,43,54,80%,-11,5
Superior School District,"Douglas, WI","$139,000 ","$177,000 ",79%,212.50%,52,67,78%,-15,3
Sierra Sands Unified School District,"Kern, CA","$177,000 ","$225,000 ",79%,70.37%,61,58,104%,3,6.8
White Bear Lake School District,"Washington, MN","$259,000 ","$330,000 ",79%,88.46%,44,45,98%,-1,8.3
Atlanta Public School District,"Fulton, GA","$261,000 ","$332,000 ",78%,89.47%,51,51,100%,0,5.8
Ely Public School District,"St. Louis, MN","$125,000 ","$159,000 ",78%,25.00%,109,62,176%,47,6
Muskogee School District,"Muskogee, OK","$71,000 ","$90,000 ",78%,90.48%,68,67,101%,1,3.9
Belton 124 School District,"Cass, MO","$180,000 ","$229,000 ",78%,86.27%,52,52,100%,0,5.2
Valdosta City School District,"Lowndes, GA","$118,000 ","$150,000 ",78%,83.33%,121,104,116%,17,4.4
West Babylon Union Free School District,"Suffolk, NY","$359,000 ","$458,000 ",78%,162.50%,48,68,71%,-20,6.1
Linden School District,"Union, NJ","$250,000 ","$319,000 ",78%,71.43%,83,59,141%,24,2
Keystone Oaks School District,"Allegheny, PA","$145,000 ","$185,000 ",78%,167.65%,46,65,71%,-19,6.1
Nashwauk-Keewatin School District,"Itasca, MN","$145,000 ","$185,000 ",78%,100.00%,59,82,72%,-23,7
Altmar-Parish-Williamstown Central School District,"Oswego, NY","$94,000 ","$120,000 ",78%,69.57%,107,69,154%,38,6
Anoka-Hennepin Public School Dist. School District,"Hennepin, MN","$235,000 ","$300,000 ",78%,95.83%,36,44,82%,-8,6.7
West Hempstead Union Free School District,"Nassau, NY","$469,000 ","$599,000 ",78%,160.00%,52,66,79%,-14,6
East Central Isd School District,"Bexar, TX","$180,000 ","$230,000 ",78%,71.70%,65,52,125%,13,5
Belen Consolidated School District,"Valencia, NM","$157,000 ","$200,000 ",78%,66.67%,95,86,110%,9,5
Rahway School District,"Union, NJ","$250,000 ","$319,000 ",78%,78.57%,67,59,113%,8,3.2
St. Cloud Public School District,"Sherburne, MN","$180,000 ","$230,000 ",78%,87.50%,60,47,128%,13,4.9
MASCENIC REGIONAL SCHOOL DISTRICT,"Hillsborough, NH","$242,000 ","$310,000 ",78%,70.21%,51,53,96%,-2,5
West Allis-West Milwaukee School District,"Milwaukee, WI","$133,000 ","$170,000 ",78%,64.71%,48,45,107%,3,4.6
Wadsworth City School District,"Medina, OH","$172,000 ","$220,000 ",78%,106.25%,51,55,93%,-4,9
Berwick Area School District,"Columbia, PA","$125,000 ","$160,000 ",78%,77.78%,86,85,101%,1,3
Seaside Heights Borough School District,"Ocean, NJ","$250,000 ","$320,000 ",78%,57.89%,128,92,139%,36,4
Bloomington Sd 87 School District,"McLean, IL","$125,000 ","$160,000 ",78%,78.57%,62,61,102%,1,4.6
St. Peter Public School District,"Nicollet, MN","$170,000 ","$218,000 ",78%,64.89%,61,55,110%,6,7.5
Melissa Isd School District,"Collin, TX","$296,000 ","$379,000 ",78%,98.73%,42,37,112%,5,7.8
Ysleta Isd School District,"El Paso, TX","$125,000 ","$159,000 ",78%,85.71%,94,97,97%,-3,5.4
Holly Area School District,"Oakland, MI","$285,000 ","$365,000 ",78%,106.67%,46,38,121%,8,8
Watertown School District,"Litchfield, CT","$280,000 ","$359,000 ",78%,232.35%,59,94,63%,-35,5
Wyoming Valley West School District,"Luzerne, PA","$99,000 ","$127,000 ",78%,103.70%,90,95,95%,-5,5
Absecon City School District,"Atlantic, NJ","$156,000 ","$200,000 ",78%,69.05%,110,103,106%,7,5.5
Moreno Valley Unified School District,"Riverside, CA","$300,000 ","$385,000 ",78%,138.46%,44,65,68%,-21,4.2
Columbia Heights Public School Dist School District,"Anoka, MN","$185,000 ","$238,000 ",78%,112.50%,34,41,83%,-7,2.8
Kokomo-Center Twp Con School Corporation,"Howard, IN","$60,000 ","$77,000 ",78%,71.43%,71,69,102%,2,2.9
Cotati-Rohnert Park Unified School District,"Sonoma, CA","$479,000 ","$615,000 ",78%,103.77%,25,34,74%,-9,7
Leominster School District,"Worcester, MA","$248,000 ","$318,000 ",78%,120.37%,38,55,69%,-17,6
Stafford School District,"Tolland, CT","$195,000 ","$250,000 ",78%,82.05%,67,68,99%,-1,6
Adel Desoto Minburn Community School District,"Dallas, IA","$247,000 ","$318,000 ",78%,117.65%,57,68,84%,-11,7.8
Peabody School District,"Essex, MA","$350,000 ","$450,000 ",78%,196.83%,23,45,51%,-22,4.9
Cleburne Isd School District,"Johnson, TX","$144,000 ","$185,000 ",78%,98.65%,46,44,103%,2,5.2
San Rafael City High School District,"Marin, CA","$914,000 ","$1,175,000 ",78%,76.09%,30,37,81%,-7,7.2
Western Brown Local School District,"Brown, OH","$124,000 ","$160,000 ",78%,144.74%,72,67,107%,5,5
Penns Grove-Carneys Point School District,"Salem, NJ","$105,000 ","$135,000 ",78%,75.00%,96,108,89%,-12,2.3
Weatherford Isd School District,"Parker, TX","$233,000 ","$299,000 ",78%,101.47%,53,58,91%,-5,6.6
Chariho School District,"Washington, RI","$350,000 ","$450,000 ",78%,97.62%,67,59,114%,8,9
Sheffield City School District,"Colbert, AL","$70,000 ","$90,000 ",78%,71.43%,134,104,128%,30,4
Huber Heights City School District,"Montgomery, OH","$105,000 ","$135,000 ",78%,87.88%,62,61,102%,1,6
Bellefonte Area School District,"Centre, PA","$240,000 ","$309,000 ",78%,97.30%,66,71,93%,-5,5
Freeburg Chsd 77 School District,"St. Clair, IL","$132,000 ","$170,000 ",78%,102.78%,67,66,102%,1,7
Red Bank School District,"Monmouth, NJ","$400,000 ","$515,000 ",78%,95.35%,76,65,117%,11,4.1
Buckingham Co Pblc Schs School District,"Buckingham, VA","$185,000 ","$238,000 ",78%,80.00%,95,97,98%,-2,4
Rsu 17/Msad 17 School District,"Cumberland, ME","$271,000 ","$349,000 ",78%,33.59%,89,62,143%,27,5
Foxborough School District,"Norfolk, MA","$427,000 ","$550,000 ",78%,164.15%,39,46,86%,-7,7.1
Apple Valley Unified School District,"San Bernardino, CA","$229,000 ","$295,000 ",78%,62.50%,53,53,100%,0,4.4
Sweet Home Sd 55 School District,"Linn, OR","$170,000 ","$219,000 ",78%,60.00%,61,48,127%,13,4
Willard City School District,"Huron, OH","$89,000 ","$115,000 ",78%,49.23%,104,68,153%,36,5
La Mesa-Spring Valley School District,"San Diego, CA","$535,000 ","$690,000 ",78%,106.45%,25,37,68%,-12,6.5
Mabank Isd School District,"Henderson, TX","$190,000 ","$245,000 ",78%,111.76%,100,107,93%,-7,6.9
East Pennsboro Area School District,"Cumberland, PA","$155,000 ","$200,000 ",77%,119.05%,53,59,90%,-6,6.1
Cripple Creek-Victor School District No. Re-1 School District,"Teller, CO","$230,000 ","$297,000 ",77%,80.77%,72,52,138%,20,4.5
Franklin School District,"Williamson, TN","$420,000 ","$542,000 ",77%,141.07%,33,39,85%,-6,9.3
East Jordan Public School District,"Charlevoix, MI","$199,000 ","$257,000 ",77%,80.00%,68,74,92%,-6,6.3
Goffstown School District,"Hillsborough, NH","$240,000 ","$310,000 ",77%,189.36%,38,53,72%,-15,9
East Syracuse-Minoa Central School District,"Onondaga, NY","$120,000 ","$155,000 ",77%,147.92%,41,54,76%,-13,6.9
Conway School District,"Carroll, NH","$216,000 ","$279,000 ",77%,128.00%,73,88,83%,-15,4
Hamilton K-12 School District,"Ravalli, MT","$295,000 ","$381,000 ",77%,104.17%,102,95,107%,7,6
Scranton School District,"Lackawanna, PA","$89,000 ","$115,000 ",77%,62.50%,110,95,116%,15,4.2
Murray District School District,"Salt Lake, UT","$240,000 ","$310,000 ",77%,115.79%,33,39,85%,-6,5.3
Milford School District,"Sussex, DE","$239,000 ","$309,000 ",77%,63.16%,132,116,114%,16,6.6
Plymouth Community School Corporation,"Marshall, IN","$160,000 ","$206,000 ",77%,127.08%,85,112,76%,-27,5
Rock Falls Twp Hsd 301 School District,"Whiteside, IL","$65,000 ","$84,000 ",77%,92.31%,54,68,79%,-14,5.3
Ashtabula Area City School District,"Ashtabula, OH","$85,000 ","$110,000 ",77%,100.00%,69,78,88%,-9,2.2
Washington Borough School District,"Warren, NJ","$200,000 ","$259,000 ",77%,77.27%,69,83,83%,-14,4.7
Tahoma School District,"King, WA","$482,000 ","$625,000 ",77%,87.88%,24,21,117%,3,8.6
Woodruff J1 School District,"Vilas, WI","$204,000 ","$265,000 ",77%,165.00%,66,84,79%,-18,6
John Swett Unified School District,"Contra Costa, CA","$417,000 ","$540,000 ",77%,88.00%,39,34,115%,5,5.3
Schiller Park Sd 81 School District,"Cook, IL","$205,000 ","$266,000 ",77%,133.87%,53,55,97%,-2,6
Rutherford School District,"Bergen, NJ","$469,000 ","$609,000 ",77%,234.21%,45,62,73%,-17,6.9
Bloomfield School District,"San Juan, NM","$158,000 ","$205,000 ",77%,41.67%,110,77,143%,33,5
Oxford School District,"Worcester, MA","$245,000 ","$318,000 ",77%,112.96%,43,55,78%,-12,4.7
Hot Springs School District,"Garland, AR","$170,000 ","$221,000 ",77%,73.33%,115,95,121%,20,4.1
New York City Geographic District #28 School District,"Queens, NY","$369,000 ","$479,000 ",77%,92.31%,69,61,113%,8,4.8
Racine Unified School District,"Racine, WI","$148,000 ","$192,000 ",77%,97.37%,48,58,83%,-10,2.8
Salinas City Elementary School District,"Monterey, CA","$415,000 ","$539,000 ",77%,96.08%,41,55,75%,-14,3.6
North Providence School District,"Providence, RI","$192,000 ","$250,000 ",77%,60.61%,55,51,107%,4,5.7
Batavia Local School District,"Clermont, OH","$200,000 ","$260,000 ",77%,57.69%,44,46,96%,-2,6
Willmar Public School District,"Kandiyohi, MN","$150,000 ","$195,000 ",77%,120.00%,72,76,95%,-4,3.5
Fraser Public School District,"Macomb, MI","$150,000 ","$195,000 ",77%,85.71%,55,40,138%,15,6.4
Lakeview Public Schools (Macomb) School District,"Macomb, MI","$150,000 ","$195,000 ",77%,157.14%,25,41,61%,-16,6
Franklin Community School Corporation,"Johnson, IN","$140,000 ","$182,000 ",77%,102.78%,41,44,94%,-3,5.1
Harrison Sd 36 School District,"McHenry, IL","$180,000 ","$234,000 ",77%,61.54%,70,58,121%,12,8.8
Fowlerville Community School District,"Livingston, MI","$219,000 ","$285,000 ",77%,55.79%,62,38,163%,24,7
Spokane School District,"Spokane, WA","$173,000 ","$225,000 ",77%,90.00%,45,47,96%,-2,6.1
Quabbin School District,"Worcester, MA","$244,000 ","$318,000 ",77%,82.41%,78,55,142%,23,7
Runnemede Borough School District,"Camden, NJ","$145,000 ","$189,000 ",77%,93.94%,74,79,94%,-5,4
Kilgore Isd School District,"Gregg, TX","$145,000 ","$189,000 ",77%,113.16%,107,76,141%,31,5.3
School City Of Mishawaka School District,"St. Joseph, IN","$74,000 ","$97,000 ",77%,91.49%,66,62,106%,4,4.3
Elgin Isd School District,"Bastrop, TX","$188,000 ","$245,000 ",77%,112.82%,47,52,91%,-5,3.7
Barnstead School District,"Belknap, NH","$209,000 ","$273,000 ",77%,103.12%,78,79,99%,-1,5
Centennial Sd 28J School District,"Multnomah, OR","$329,000 ","$430,000 ",77%,110.87%,19,24,79%,-5,4.9
Carteret Borough School District,"Middlesex, NJ","$260,000 ","$340,000 ",76%,91.67%,55,62,89%,-7,3.3
Haralson County School District,"Haralson, GA","$130,000 ","$170,000 ",76%,100.00%,87,87,100%,0,4.5
Desoto 73 School District,"Jefferson, MO","$130,000 ","$170,000 ",76%,100.00%,54,64,84%,-10,6.9
Wausau School District,"Marathon, WI","$130,000 ","$170,000 ",76%,96.77%,65,62,105%,3,6.1
Plainedge Union Free School District,"Nassau, NY","$458,000 ","$599,000 ",76%,172.50%,48,67,72%,-19,7
Rutland City School District,"Rutland, VT","$148,000 ","$193,000 ",76%,180.00%,117,142,83%,-25,7
Amityville Union Free School District,"Suffolk, NY","$350,000 ","$458,000 ",76%,137.50%,67,68,99%,-1,3.5
Sachem Central School District,"Suffolk, NY","$350,000 ","$458,000 ",76%,168.75%,66,68,97%,-2,7.7
Orcutt Union Elementary School District,"Santa Barbara, CA","$470,000 ","$615,000 ",76%,172.73%,41,63,65%,-22,6.1
Deptford Township School District,"Gloucester, NJ","$170,000 ","$223,000 ",76%,100.00%,73,82,89%,-9,4.1
Rsu 11/Msad 11 School District,"Kennebec, ME","$134,000 ","$175,000 ",76%,100.00%,97,99,97%,-2,5
School District No. 3 In The County Of El Paso And State Of School District,"El Paso, CO","$229,000 ","$300,000 ",76%,70.45%,31,36,86%,-5,4.4
Medway School District,"Norfolk, MA","$420,000 ","$550,000 ",76%,145.28%,39,46,86%,-7,8.7
Aurora West Usd 129 School District,"Kane, IL","$210,000 ","$275,000 ",76%,100.00%,54,55,98%,-1,4
North Plainfield Borough School District,"Union, NJ","$243,000 ","$319,000 ",76%,67.14%,75,59,126%,16,2
Arab City School District,"Marshall, AL","$145,000 ","$190,000 ",76%,80.00%,95,96,99%,-1,10
Lake Dallas Isd School District,"Denton, TX","$270,000 ","$354,000 ",76%,95.89%,33,38,87%,-5,7.1
Middleburgh Central School District,"Albany, NY","$160,000 ","$210,000 ",76%,47.62%,84,72,117%,12,5.6
Connetquot Central School District,"Suffolk, NY","$349,000 ","$458,000 ",76%,143.75%,74,68,109%,6,7.3
Deer Park Union Free School District,"Suffolk, NY","$349,000 ","$458,000 ",76%,131.25%,70,68,102%,2,6
Kenosha School District,"Kenosha, WI","$160,000 ","$210,000 ",76%,101.82%,46,54,85%,-8,4
Ogden City District,"Weber, UT","$160,000 ","$210,000 ",76%,93.33%,46,44,105%,2,3.7
Ridley School District,"Delaware, PA","$175,000 ","$230,000 ",76%,107.32%,73,72,101%,1,5.4
Enfield School District,"Hartford, CT","$190,000 ","$250,000 ",76%,84.44%,54,61,89%,-7,5.8
Murphysboro Cusd 186 School District,"Jackson, IL","$93,000 ","$122,000 ",76%,93.33%,108,88,123%,20,3
Columbus School District,"Columbia, WI","$175,000 ","$230,000 ",76%,96.15%,71,79,90%,-8,7
Verona School District,"Essex, NJ","$369,000 ","$485,000 ",76%,51.61%,96,53,181%,43,7.2
Alisal Union School District,"Monterey, CA","$410,000 ","$539,000 ",76%,100.00%,47,55,85%,-8,4.1
Arlington Isd School District,"Tarrant, TX","$190,000 ","$250,000 ",76%,125.35%,37,38,97%,-1,6.2
Birdville Isd School District,"Tarrant, TX","$190,000 ","$250,000 ",76%,125.35%,32,38,84%,-6,7
Whitewater Unified School District,"Walworth, WI","$209,000 ","$275,000 ",76%,65.79%,65,81,80%,-16,4
Mother Lode Union Elementary School District,"El Dorado, CA","$418,000 ","$550,000 ",76%,93.22%,39,37,105%,2,7.5
Centralia Hsd 200 School District,"Marion, IL","$70,000 ","$92,000 ",76%,56.10%,67,76,88%,-9,4.5
Southmoreland School District,"Westmoreland, PA","$102,000 ","$135,000 ",76%,126.47%,58,68,85%,-10,7.5
New Berlin School District,"Waukesha, WI","$265,000 ","$349,000 ",76%,172.73%,37,47,79%,-10,8.9
Bayfield School District No. 10Jt-R School District,"La Plata, CO","$372,000 ","$490,000 ",76%,91.30%,63,82,77%,-19,6.3
Conewago Valley School District,"Adams, PA","$167,000 ","$220,000 ",76%,96.55%,77,68,113%,9,6
Cedar Rapids Community School District,"Linn, IA","$148,000 ","$195,000 ",76%,103.85%,61,60,102%,1,6
Nutley School District,"Essex, NJ","$368,000 ","$485,000 ",76%,96.77%,49,54,92%,-5,7.9
Norwood City School District,"Hamilton, OH","$118,000 ","$155,000 ",76%,95.24%,59,58,102%,1,5
Chickasha School District,"Grady, OK","$95,000 ","$125,000 ",76%,69.57%,90,75,120%,15,6.8
Oak Grove Elementary School District,"Santa Clara, CA","$720,000 ","$950,000 ",76%,93.75%,31,32,97%,-1,6.2
Urbana Sd 116 School District,"Champaign, IL","$125,000 ","$165,000 ",76%,53.57%,70,65,108%,5,3.4
Lower Township School District,"Cape May, NJ","$250,000 ","$330,000 ",76%,100.00%,104,112,93%,-8,4.5
New York City Geographic District #17 School District,"Kings, NY","$549,000 ","$725,000 ",76%,90.00%,62,90,69%,-28,3.5
Acton School Department School District,"York, ME","$265,000 ","$350,000 ",76%,68.42%,51,79,65%,-28,7
